Title,Media URL,Pinterest board,Thumbnail,Description,Link
"El Cholo — Los Angeles, CA","https://fastly.picsum.photos/id/629/800/1200.jpg?hmac=R_obkEpexx8YDDOJCC3vWTU0aQWF-e14sjczEhPbKBc","loopref/venue",,"Visit El Cholo in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Mexican #LosAngeles","https://loopref.com/places/venue/?slug=el-cholo-los-angeles"
"El Coyote — Los Angeles, CA","https://fastly.picsum.photos/id/1066/800/1200.jpg?hmac=HaCf8r4edYULzuICkfeNB8_auwWlaoo5FoLLVo07Wr8","loopref/venue",,"Visit El Coyote in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Mexican #LosAngeles","https://loopref.com/places/venue/?slug=el-coyote-los-angeles"
"Fair Oaks Pharmacy & Soda Fountain — South Pasadena, CA","https://fastly.picsum.photos/id/440/800/1200.jpg?hmac=M-8TNUy1c2PrLzxPkrpQQ4SMkInq0iCUj5EUgONswfw","loopref/venue",,"Visit Fair Oaks Pharmacy & Soda Fountain in South Pasadena, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #SouthPasadena","https://loopref.com/places/venue/?slug=fair-oaks-pharmacy-soda-fountain-south-pasadena"
"Ferrara Bakery & Cafe — New York, NY","https://fastly.picsum.photos/id/678/800/1200.jpg?hmac=XKzIMEYRgGrmlnW1TD1-W9ZtdVwCofwD-8QcqtTwlU4","loopref/venue",,"Visit Ferrara Bakery & Cafe in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Bakery #NewYork","https://loopref.com/places/venue/?slug=ferrara-bakery-cafe-new-york"
"Formosa Cafe — West Hollywood, CA","https://fastly.picsum.photos/id/18/800/1200.jpg?hmac=iqDFWUVqOoyf3eYsQeya2K4PtPlQ53dpIVQdF-dWEpA","loopref/venue",,"Visit Formosa Cafe in West Hollywood, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #WestHollywood","https://loopref.com/places/venue/?slug=formosa-cafe-west-hollywood"
"Gene & Georgetti — Chicago, IL","https://fastly.picsum.photos/id/225/800/1200.jpg?hmac=LQ4lIToo9nrYuHQivbvCT52Fbp0eBmlR9YGQq92JHiQ","loopref/venue",,"Visit Gene & Georgetti in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Steakhouse #Chicago","https://loopref.com/places/venue/?slug=gene-georgetti-chicago"
"Ghee Indian Kitchen — Miami, FL","https://fastly.picsum.photos/id/379/800/1200.jpg?hmac=-YR-T0GO_s9JfY7O_I2eBIhtKx0tdkqGwAZUHD_Ig3s","loopref/venue",,"Visit Ghee Indian Kitchen in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Indian #Miami","https://loopref.com/places/venue/?slug=ghee-indian-kitchen-miami"
"Halfway House Cafe — Santa Clarita, CA","https://fastly.picsum.photos/id/218/800/1200.jpg?hmac=xiNUWG8Hy7SRhHdcCEbNQGUOoH7GHTyRj_gAVSqF7Us","loopref/venue",,"Visit Halfway House Cafe in Santa Clarita, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #SantaClarita","https://loopref.com/places/venue/?slug=halfway-house-cafe-santa-clarita"
"Joe Jost — Long Beach, CA","https://fastly.picsum.photos/id/198/800/1200.jpg?hmac=8Oq-JRRBACJUwqcLmT3o-tvWjcWeY-2G-sCsq-rnphY","loopref/venue",,"Visit Joe Jost in Long Beach, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LongBeach","https://loopref.com/places/venue/?slug=joe-jost-long-beach"
"La Camaronera — Miami, FL","https://fastly.picsum.photos/id/136/800/1200.jpg?hmac=9BVK-Sn-lO_3eO7abEqwldhvtUdZB3RmwmP8oOQi7mI","loopref/venue",,"Visit La Camaronera in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Seafood #Miami","https://loopref.com/places/venue/?slug=la-camaronera-miami"
"La Scarola — Chicago, IL","https://fastly.picsum.photos/id/127/800/1200.jpg?hmac=GVazbiIQJE0O_dsQbDpfWnF4oZKbtVnyHGjGG8U8iiA","loopref/venue",,"Visit La Scarola in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Italian #Chicago","https://loopref.com/places/venue/?slug=la-scarola-chicago"
"Lanza Brothers Market — Los Angeles, CA","https://fastly.picsum.photos/id/574/800/1200.jpg?hmac=QH8aYFLbrObhE_qcROGr6Z5KjEJ4ropEKIWbpmpYqCc","loopref/venue",,"Visit Lanza Brothers Market in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Deli #LosAngeles","https://loopref.com/places/venue/?slug=lanza-brothers-market-los-angeles"
"Lawry's The Prime Rib — Beverly Hills, CA","https://fastly.picsum.photos/id/1044/800/1200.jpg?hmac=DqUqzwh6nrlkT9PFAq6CBlqzp62dJo0K_XgNmoN8_Hg","loopref/venue",,"Visit Lawry's The Prime Rib in Beverly Hills, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Steakhouse #BeverlyHills","https://loopref.com/places/venue/?slug=lawrys-the-prime-rib-beverly-hills"
"Marrakech — Chicago, IL","https://fastly.picsum.photos/id/997/800/1200.jpg?hmac=vDZtQxraQD5kEo2w2njc6nGZLV_Mq8dA_8xHDHfdXQQ","loopref/venue",,"Visit Marrakech in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Chicago","https://loopref.com/places/venue/?slug=marrakech-chicago"
"Mignonette — Miami, FL","https://fastly.picsum.photos/id/23/800/1200.jpg?hmac=PwWjUvIuN25Th_y8DxwjmzFyVeIpaPZKVKQ-AJoiGjQ","loopref/venue",,"Visit Mignonette in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Seafood #Miami","https://loopref.com/places/venue/?slug=mignonette-miami"
"Mitla Cafe — San Bernardino, CA","https://fastly.picsum.photos/id/94/800/1200.jpg?hmac=ZZbTpf5VlkZq7fFzc9B14WFOipDcUpo7wSe4WQm6feA","loopref/venue",,"Visit Mitla Cafe in San Bernardino, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Mexican #SanBernardino","https://loopref.com/places/venue/?slug=mitla-cafe-san-bernardino"
"Musso & Frank Grill — Los Angeles, CA","https://fastly.picsum.photos/id/953/800/1200.jpg?hmac=LJ9EHGKQEYDhdDzQ3V9WxWZ0y3rMU0S2pA1OOHZO2DA","loopref/venue",,"Visit Musso & Frank Grill in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LosAngeles","https://loopref.com/places/venue/?slug=musso-frank-grill-los-angeles"
"Nate 'n Al — Beverly Hills, CA","https://fastly.picsum.photos/id/658/800/1200.jpg?hmac=1bqG-VVLEKD1ZR07br7eNIBXhf8raRtw0XfR92q7zxU","loopref/venue",,"Visit Nate 'n Al in Beverly Hills, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Deli #BeverlyHills","https://loopref.com/places/venue/?slug=nate-n-al-beverly-hills"
"Nick's Coffee Shop — Los Angeles, CA","https://fastly.picsum.photos/id/33/800/1200.jpg?hmac=Qj1LAHqgd00AicxNmIOM9CcAOiygPfqtKUOHYPObdJA","loopref/venue",,"Visit Nick's Coffee Shop in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Coffee #LosAngeles","https://loopref.com/places/venue/?slug=nicks-coffee-shop-los-angeles"
"Original Pantry Cafe — Los Angeles, CA","https://fastly.picsum.photos/id/863/800/1200.jpg?hmac=bn11s8dMtnufZq0dA2gpacbOGGVG9RNOscz3sj7ZKcg","loopref/venue",,"Visit Original Pantry Cafe in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LosAngeles","https://loopref.com/places/venue/?slug=original-pantry-cafe-los-angeles"
"Original Tommy's Hamburgers — Los Angeles, CA","https://fastly.picsum.photos/id/991/800/1200.jpg?hmac=klRxmixhWqGC1zMruy9WTeYUAjwE78oaUAryWYNVRD8","loopref/venue",,"Visit Original Tommy's Hamburgers in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Burgers #LosAngeles","https://loopref.com/places/venue/?slug=original-tommys-hamburgers-los-angeles"
"Paul's Kitchen — Los Angeles, CA","https://fastly.picsum.photos/id/146/800/1200.jpg?hmac=UObMinbJEU-vv8EvorCqFU0kKHSX4Hz3_kYA5-2SwiY","loopref/venue",,"Visit Paul's Kitchen in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LosAngeles","https://loopref.com/places/venue/?slug=pauls-kitchen-los-angeles"
"Paya — Miami, FL","https://fastly.picsum.photos/id/848/800/1200.jpg?hmac=6lPpUFZSMtNQbNOK-DEikT3H4MSNyJHHl6mWUWv69Vc","loopref/venue",,"Visit Paya in Miami, FL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Miami","https://loopref.com/places/venue/?slug=paya-miami"
"Pecos Bill's BBQ — Glendale, CA","https://fastly.picsum.photos/id/1049/800/1200.jpg?hmac=_BPBDPikKuxTp9nI3WgU5Fnpi3a_nWjxFZtLSKw9sms","loopref/venue",,"Visit Pecos Bill's BBQ in Glendale, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #BBQ #Glendale","https://loopref.com/places/venue/?slug=pecos-bills-bbq-glendale"
"Philippe the Original — Los Angeles, CA","https://fastly.picsum.photos/id/397/800/1200.jpg?hmac=LZUgSS8KjlPg-jx4O74ZPIxXcBmWntzrgRfRNSu2vco","loopref/venue",,"Visit Philippe the Original in Los Angeles, CA and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #LosAngeles","https://loopref.com/places/venue/?slug=philippe-the-original-los-angeles"
"Qing Xiang Yuan Dumplings — Chicago, IL","https://fastly.picsum.photos/id/364/800/1200.jpg?hmac=DRhdZx6xB89-pIf30wJ9Qx-NB4QoTIwDhcD3ianYX-Y","loopref/venue",,"Visit Qing Xiang Yuan Dumplings in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Chinese #Chicago","https://loopref.com/places/venue/?slug=qing-xiang-yuan-dumplings-chicago"
"Ragadan — Chicago, IL","https://fastly.picsum.photos/id/89/800/1200.jpg?hmac=_mBEdQR8rS272dkHU7rkv5ZLpqI66kIxpewWaz8TVFE","loopref/venue",,"Visit Ragadan in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Chicago","https://loopref.com/places/venue/?slug=ragadan-chicago"
"Randazzo's Clam Bar — Brooklyn, NY","https://fastly.picsum.photos/id/413/800/1200.jpg?hmac=h7PpMVXznKyQv_PKnQqWtJfN1PL3UJuaB1NJNk2XsII","loopref/venue",,"Visit Randazzo's Clam Bar in Brooklyn, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Seafood #Brooklyn","https://loopref.com/places/venue/?slug=randazzos-clam-bar-brooklyn"
"Rao's — New York, NY","https://fastly.picsum.photos/id/649/800/1200.jpg?hmac=8HM6ekQ_ioPY1Lc1EnN8xtE0deinKI5LdC5i2I4V4Mc","loopref/venue",,"Visit Rao's in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Italian #NewYork","https://loopref.com/places/venue/?slug=raos-new-york"
"Ricobene's — Chicago, IL","https://fastly.picsum.photos/id/522/800/1200.jpg?hmac=JrvnpdO3ozTWKs855qmdDJCqHft4maAtgcs-JhZwLbo","loopref/venue",,"Visit Ricobene's in Chicago, IL and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Restaurant #Chicago","https://loopref.com/places/venue/?slug=ricobenes-chicago"
"Russ & Daughters — New York, NY","https://fastly.picsum.photos/id/1042/800/1200.jpg?hmac=7j3_Si5SpylsiZ8siqe_-GgwAv8bsVMiYNyheqKWpWo","loopref/venue",,"Visit Russ & Daughters in New York, NY and share your experience with friends to earn real discounts. Find more venues on LoopRef. #LoopRef #Deli #NewYork","https://loopref.com/places/venue/?slug=russ-daughters-new-york"
